1,US Maxim Nail Supply - Houston,10600 Bellaire Blvd.,Ste. #135,Houston,TX,77072,US,United States,(832) 617-8666
2,PNS Nail Supply - Michigan,2921 Dequindre Rd.,,Madison Heights,MI,48071,US,United States,(248) 544-8585
3,Kelly Nails Supply - Boston,264 Adams Street,,Dorchester,MA,02122,US,United States,(617) 282-0264
4,Nationwide Nail Supplies - Phoenix,7549 W. Cactus Rd.,Ste. #107,Peoria,AZ,85381,US,United States,(623) 878-2475
5,US Maxim Nail Supply - VA,6533 Arlington Blvd.,Unit B,Falls Church,VA,22042,US,United States,(703) 533-3540
6,US Maxim Nail Supply - PA,1119 S. 11th Street,,Philadelphia,PA,19147,US,United States,(215) 467-1328
7,Nailmark Supply - Orlando,1239 Hillcrest Street,,Orlando,FL,32803,US,United States,(407) 898-1595
8,LA Nail Supply - LA,14551 Chef Menteur Hwy.,,New Orleans,LA,70129,US,United States,(504) 254-2001
9,LA Nail Supply - Tampa,2202 W. Waters Ave.,Ste. #2,Tampa,FL,33604,US,United States,(813) 935-7708
10,Pro Nails Supply - Garland,805 N. Jupiter Rd.,,Garland,TX,75042,US,United States,(972) 494-6111
11,The Nail & Beauty Link,103 Soho Hill,,Birmingham,GB-BIR,B19 1AY,GB,United Kingdom,+44-121-5235535
12,ABC Nail Supply,127 Cremazie Quest,,Montreal ,Quebec,H2N 1L5,CA,Canada,(514) 333-1792
13,Allure Nail Supply,29 W 19th Ave.,,North Kansas City,MO,64116,US,United States,(866) 986-2457