CANADA,A,,$24.76,$27.34,$31.51,$34.37,$41.36,$42.34,$42.89,$44.69,$46.33,$48.13,$50.38,$52.64,$54.89,$57.13,$59.39,$61.64,$63.90,$66.15,$68.39,$70.66,$72.49,$74.34,$76.18,$78.02,$79.87,$81.70,$83.54,$85.39,$87.23,$89.07,$90.92,$92.75,$94.59,$96.44,$98.28,$100.11,$101.97,$103.80,$105.64,$107.49,$109.33,$111.16,$113.02,$114.85,$116.69,$118.54,$120.38,$122.21,$124.07,$125.90,$127.11,$128.33,$129.56,$130.77,$131.98,$133.20,$134.43,$135.64,$136.85,$138.07,$139.28,$140.51,$141.72,$142.93,$144.15,$145.38,$146.59,$147.80,$149.02,$150.23,$151.10,$151.95,$152.80,$153.66,$154.51,$155.36,$156.23,$157.08,$157.93,$158.79,$159.64,$160.49,$161.34,$162.21,$163.07,$163.92,$164.77,$165.62,$166.48,$167.34,$168.20,$169.05,$169.90,$170.75,$171.61,$172.46,$173.33,$174.18,$175.03,$175.89,$177.84,$179.80,$181.75,$183.72,$185.67,$187.62,$189.59,$191.54,$193.49,$195.46,$197.41,$199.36,$201.33,$203.28,$205.23,$207.20,$209.15,$211.11,$213.07,$215.02,$216.98,$218.93,$220.89,$222.85,$224.80,$226.75,$228.72,$230.67,$232.62,$234.59,$236.54,$238.51,$240.46,$242.41,$244.38,$246.33,$248.28,$250.25,$252.20,$254.15,$256.11,$258.07,$260.02,$261.98,$263.93,$265.90,$267.85,$269.80,$271.77,$273.72,$1.80
MEXICO,B,,$26.36,$28.97,$35.64,$38.49,$49.38,$53.69,$58.20,$63.00,$66.72,$70.31,$72.79,$75.28,$77.75,$80.25,$82.72,$85.21,$87.69,$90.16,$92.66,$95.13,$96.97,$98.79,$100.61,$102.44,$104.26,$106.08,$107.92,$109.74,$111.56,$113.39,$115.21,$117.03,$118.87,$120.69,$122.51,$124.34,$126.16,$127.98,$129.82,$131.64,$133.46,$135.30,$137.11,$138.93,$140.77,$142.59,$144.41,$146.25,$148.07,$149.89,$151.39,$152.89,$154.38,$155.87,$157.38,$158.87,$160.36,$161.87,$163.36,$164.85,$166.34,$167.85,$169.34,$170.84,$172.33,$173.84,$175.33,$176.82,$178.33,$179.82,$180.77,$181.72,$182.67,$183.64,$184.59,$185.54,$186.49,$187.44,$188.39,$189.36,$190.31,$191.26,$192.21,$193.16,$194.11,$195.08,$196.03,$196.98,$197.93,$198.89,$199.84,$200.80,$201.75,$202.70,$203.66,$204.61,$205.57,$206.52,$207.48,$208.43,$210.64,$212.87,$215.08,$217.31,$219.52,$221.74,$223.97,$226.18,$228.41,$230.62,$232.84,$235.07,$237.28,$239.51,$241.72,$243.95,$246.16,$248.38,$250.61,$252.82,$255.05,$257.26,$259.48,$261.70,$263.92,$266.15,$268.36,$270.57,$272.80,$275.02,$277.25,$279.46,$281.67,$283.90,$286.11,$288.34,$290.56,$292.77,$295.00,$297.21,$299.44,$301.66,$303.87,$306.10,$308.31,$310.54,$312.75,$314.97,$317.20,$319.41,$2.11
EUROPE,C,,$27.37,$32.09,$37.67,$42.89,$54.97,$57.26,$60.62,$63.52,$68.20,$72.28,$75.39,$78.49,$81.61,$84.70,$87.82,$90.93,$94.03,$97.15,$100.25,$103.36,$106.07,$108.79,$111.49,$114.21,$116.92,$119.64,$122.34,$125.07,$127.77,$130.49,$133.20,$135.92,$138.62,$141.34,$144.05,$146.77,$149.48,$152.20,$154.90,$157.62,$160.33,$163.05,$165.75,$168.48,$171.18,$173.90,$176.61,$179.33,$182.03,$184.75,$187.79,$190.84,$193.87,$196.92,$199.95,$203.00,$206.05,$209.08,$212.13,$215.16,$218.21,$221.25,$224.30,$227.33,$230.38,$233.43,$236.46,$239.51,$242.54,$245.59,$248.13,$250.69,$253.23,$255.79,$258.33,$260.89,$263.43,$265.98,$268.52,$271.07,$273.62,$276.16,$278.72,$281.26,$283.82,$286.36,$288.92,$291.46,$294.02,$296.56,$299.11,$301.66,$304.21,$306.75,$309.30,$311.85,$314.39,$316.95,$319.49,$322.05,$325.20,$328.36,$331.51,$334.67,$337.84,$340.98,$344.15,$347.30,$350.46,$353.62,$356.77,$359.93,$363.08,$366.25,$369.39,$372.56,$375.72,$378.87,$382.03,$385.18,$388.34,$391.49,$394.66,$397.82,$400.97,$404.13,$407.28,$410.44,$413.59,$416.75,$419.92,$423.07,$426.23,$429.38,$432.54,$435.69,$438.85,$442.02,$445.16,$448.33,$451.48,$454.64,$457.80,$460.95,$464.11,$467.26,$470.43,$473.57,$476.74,$479.90,$3.21
,D,,$33.80,$40.01,$45.23,$49.97,$62.00,$66.18,$70.34,$74.98,$80.31,$84.36,$88.43,$92.49,$96.56,$100.61,$104.67,$108.74,$112.80,$116.85,$120.92,$124.98,$128.21,$131.46,$134.70,$137.93,$141.18,$144.41,$147.66,$150.90,$154.13,$157.38,$160.61,$163.85,$167.08,$170.33,$173.57,$176.80,$180.05,$183.28,$186.52,$189.77,$193.00,$196.25,$199.48,$202.72,$205.97,$209.20,$212.44,$215.67,$218.92,$222.16,$225.64,$229.13,$232.61,$236.10,$239.59,$243.07,$246.56,$250.05,$253.52,$257.02,$260.51,$263.98,$267.48,$270.95,$274.44,$277.93,$281.41,$284.90,$288.39,$291.87,$294.93,$297.98,$301.05,$304.10,$307.16,$310.23,$313.28,$316.34,$319.39,$322.46,$325.51,$328.57,$331.64,$334.69,$337.75,$340.80,$343.87,$346.92,$349.98,$353.03,$356.10,$359.16,$362.21,$365.28,$368.33,$371.39,$374.44,$377.51,$380.56,$383.62,$387.39,$391.15,$394.92,$398.69,$402.44,$406.21,$409.98,$413.74,$417.51,$421.28,$425.05,$428.80,$432.57,$436.34,$440.10,$443.87,$447.64,$451.39,$455.16,$458.93,$462.69,$466.46,$470.23,$473.98,$477.75,$481.52,$485.30,$489.05,$492.82,$496.59,$500.34,$504.11,$507.89,$511.64,$515.41,$519.18,$522.93,$526.70,$530.48,$534.23,$538.00,$541.77,$545.54,$549.30,$553.07,$556.84,$560.59,$564.36,$568.13,$571.89,$3.80
,E,,$53.49,$61.30,$76.14,$86.21,$110.44,$117.00,$127.10,$136.44,$144.95,$151.97,$161.79,$171.59,$181.41,$191.23,$201.05,$210.85,$220.67,$230.49,$240.31,$250.13,$257.51,$264.89,$272.28,$279.66,$287.03,$294.43,$301.80,$309.18,$316.57,$323.95,$331.33,$338.72,$346.10,$353.48,$360.87,$368.25,$375.64,$383.02,$390.39,$397.79,$405.16,$412.54,$419.93,$427.31,$434.69,$442.08,$449.46,$456.84,$464.23,$471.61,$478.44,$485.30,$492.13,$498.97,$505.80,$512.66,$519.49,$526.33,$533.16,$540.02,$546.85,$553.69,$560.52,$567.38,$574.21,$581.05,$587.89,$594.74,$601.57,$608.41,$614.64,$620.87,$627.10,$633.34,$639.57,$645.80,$652.03,$658.26,$664.49,$670.72,$676.97,$683.20,$689.43,$695.66,$701.89,$708.11,$714.34,$720.57,$726.82,$733.05,$739.28,$745.51,$751.74,$757.97,$764.20,$770.44,$776.67,$782.90,$789.13,$795.36,$803.20,$811.02,$818.84,$826.67,$834.49,$842.33,$850.15,$857.98,$865.80,$873.62,$881.46,$889.28,$897.11,$904.93,$912.77,$920.59,$928.41,$936.25,$944.07,$951.90,$959.72,$967.56,$975.38,$983.20,$991.03,$998.85,"$1,006.69","$1,014.51","$1,022.34","$1,030.16","$1,037.98","$1,045.82","$1,053.64","$1,061.48","$1,069.30","$1,077.13","$1,084.95","$1,092.77","$1,100.61","$1,108.43","$1,116.26","$1,124.08","$1,131.92","$1,139.74","$1,147.56","$1,155.39","$1,163.21","$1,171.05","$1,178.87","$1,186.70",$7.95
ASIA,F,,$27.23,$31.77,$37.27,$42.39,$54.28,$57.08,$60.57,$64.72,$68.23,$71.39,$74.43,$77.44,$80.48,$83.49,$86.52,$89.54,$92.57,$95.59,$98.62,$101.66,$104.38,$107.11,$109.84,$112.57,$115.30,$118.03,$120.75,$123.49,$126.21,$128.95,$131.67,$134.41,$137.13,$139.87,$142.59,$145.33,$148.05,$150.79,$153.51,$156.25,$158.97,$161.70,$164.43,$167.15,$169.89,$172.61,$175.34,$178.07,$180.80,$183.52,$186.39,$189.26,$192.11,$194.98,$197.84,$200.70,$203.56,$206.43,$209.28,$212.15,$215.00,$217.87,$220.72,$223.59,$226.44,$229.31,$232.16,$235.03,$237.89,$240.75,$243.31,$245.89,$248.44,$251.02,$253.57,$256.15,$258.70,$261.28,$263.84,$266.41,$268.97,$271.54,$274.10,$276.66,$279.23,$281.79,$284.36,$286.92,$289.49,$292.05,$294.62,$297.18,$299.75,$302.31,$304.89,$307.44,$310.02,$312.57,$315.13,$317.70,$320.77,$323.82,$326.89,$329.93,$333.00,$336.05,$339.11,$342.16,$345.23,$348.30,$351.34,$354.41,$357.46,$360.52,$363.57,$366.64,$369.69,$372.75,$375.82,$378.87,$381.93,$384.98,$388.05,$391.10,$394.16,$397.21,$400.28,$403.34,$406.39,$409.46,$412.51,$415.57,$418.62,$421.69,$424.74,$427.80,$430.87,$433.92,$436.98,$440.03,$443.10,$446.15,$449.21,$452.28,$455.33,$458.39,$461.44,$464.51,$467.56,$470.62,$3.11
,G,,$30.16,$34.94,$40.30,$44.81,$57.30,$62.48,$67.97,$73.15,$78.70,$83.89,$88.75,$93.62,$98.49,$103.36,$108.23,$113.10,$117.97,$122.82,$127.69,$132.56,$136.49,$140.43,$144.34,$148.28,$152.21,$156.13,$160.07,$164.00,$167.93,$171.85,$175.79,$179.72,$183.66,$187.57,$191.51,$195.44,$199.36,$203.30,$207.23,$211.16,$215.08,$219.02,$222.95,$226.87,$230.80,$234.74,$238.67,$242.59,$246.52,$250.46,$254.16,$257.89,$261.61,$265.31,$269.03,$272.75,$276.46,$280.18,$283.90,$287.61,$291.33,$295.05,$298.77,$302.48,$306.20,$309.92,$313.62,$317.34,$321.07,$324.77,$327.62,$330.46,$333.31,$336.15,$339.00,$341.84,$344.69,$347.52,$350.38,$353.21,$356.07,$358.90,$361.75,$364.61,$367.44,$370.30,$373.13,$375.98,$378.82,$381.67,$384.51,$387.36,$390.20,$393.05,$395.89,$398.74,$401.57,$404.43,$407.26,$410.11,$414.34,$418.56,$422.79,$427.02,$431.25,$435.46,$439.69,$443.92,$448.15,$452.38,$456.59,$460.82,$465.05,$469.28,$473.49,$477.72,$481.95,$486.18,$490.39,$494.62,$498.85,$503.08,$507.31,$511.52,$515.75,$519.98,$524.21,$528.43,$532.66,$536.89,$541.11,$545.33,$549.56,$553.79,$558.02,$562.25,$566.46,$570.69,$574.92,$579.15,$583.36,$587.59,$591.82,$596.05,$600.28,$604.49,$608.72,$612.95,$617.18,$621.39,$4.15
,H1,,$26.67,$30.00,$36.70,$41.86,$53.39,$56.41,$59.59,$63.75,$67.23,$70.13,$73.08,$76.05,$79.00,$81.97,$84.92,$87.89,$90.85,$93.80,$96.77,$99.72,$102.44,$105.15,$107.87,$110.57,$113.30,$116.00,$118.72,$121.43,$124.15,$126.85,$129.57,$132.28,$135.00,$137.70,$140.43,$143.13,$145.85,$148.56,$151.28,$153.98,$156.70,$159.41,$162.13,$164.84,$167.56,$170.26,$172.98,$175.69,$178.41,$181.11,$183.97,$186.80,$189.66,$192.49,$195.34,$198.18,$201.03,$203.87,$206.72,$209.56,$212.41,$215.25,$218.10,$220.93,$223.79,$226.62,$229.48,$232.31,$235.16,$238.00,$240.49,$242.97,$245.46,$247.93,$250.43,$252.90,$255.39,$257.87,$260.36,$262.84,$265.31,$267.80,$270.28,$272.77,$275.25,$277.74,$280.21,$282.70,$285.18,$287.66,$290.15,$292.62,$295.11,$297.59,$300.08,$302.56,$305.05,$307.52,$310.02,$312.49,$315.54,$318.57,$321.62,$324.66,$327.70,$330.74,$333.79,$336.82,$339.87,$342.92,$345.95,$349.00,$352.03,$355.08,$358.11,$361.16,$364.20,$367.25,$370.30,$373.33,$376.38,$379.41,$382.46,$385.49,$388.54,$391.57,$394.62,$397.67,$400.70,$403.75,$406.79,$409.84,$412.87,$415.92,$418.95,$422.00,$425.05,$428.08,$431.13,$434.16,$437.21,$440.25,$443.30,$446.33,$449.38,$452.43,$455.46,$458.51,$461.54,$464.59,$3.08
,H2,,$31.10,$34.90,$40.50,$46.31,$58.51,$64.61,$69.97,$75.72,$81.11,$87.16,$91.93,$96.70,$101.48,$106.23,$111.00,$115.77,$120.54,$125.31,$130.08,$134.85,$139.03,$143.23,$147.43,$151.62,$155.80,$160.00,$164.20,$168.39,$172.57,$176.77,$180.97,$185.16,$189.36,$193.54,$197.74,$201.93,$206.13,$210.31,$214.51,$218.70,$222.90,$227.08,$231.28,$235.48,$239.67,$243.85,$248.05,$252.25,$256.44,$260.64,$264.62,$268.62,$272.62,$276.61,$280.61,$284.61,$288.61,$292.59,$296.59,$300.59,$304.59,$308.57,$312.57,$316.57,$320.56,$324.56,$328.56,$332.56,$336.54,$340.54,$343.93,$347.31,$350.70,$354.10,$357.48,$360.87,$364.25,$367.64,$371.03,$374.41,$377.80,$381.20,$384.57,$387.97,$391.34,$394.74,$398.13,$401.51,$404.90,$408.28,$411.67,$415.07,$418.44,$421.84,$425.23,$428.61,$432.00,$435.38,$438.77,$442.16,$446.82,$451.46,$456.11,$460.77,$465.43,$470.08,$474.74,$479.38,$484.03,$488.69,$493.34,$498.00,$502.66,$507.31,$511.95,$516.61,$521.26,$525.92,$530.57,$535.23,$539.89,$544.52,$549.18,$553.84,$558.49,$563.15,$567.80,$572.44,$577.10,$581.75,$586.41,$591.07,$595.72,$600.38,$605.02,$609.67,$614.33,$618.98,$623.64,$628.30,$632.93,$637.59,$642.25,$646.90,$651.56,$656.21,$660.87,$665.51,$670.16,$674.82,$4.49
,I,,$46.40,$58.09,$70.79,$83.79,$109.43,$123.02,$136.62,$148.87,$161.05,$173.20,$183.67,$194.13,$204.61,$215.08,$225.56,$236.03,$246.51,$256.98,$267.46,$277.93,$285.30,$292.66,$300.03,$307.39,$314.75,$322.13,$329.49,$336.85,$344.23,$351.59,$358.95,$366.33,$373.69,$381.07,$388.43,$395.79,$403.16,$410.52,$417.89,$425.26,$432.62,$439.98,$447.36,$454.72,$462.08,$469.46,$476.82,$484.18,$491.56,$498.92,$505.75,$512.61,$519.44,$526.28,$533.11,$539.97,$546.80,$553.64,$560.48,$567.33,$574.16,$581.00,$587.84,$594.69,$601.52,$608.36,$615.20,$622.03,$628.89,$635.72,$640.69,$645.66,$650.62,$655.59,$660.56,$665.51,$670.48,$675.44,$680.41,$685.38,$690.34,$695.31,$700.28,$705.25,$710.21,$715.16,$720.13,$725.10,$730.07,$735.03,$740.00,$744.97,$749.93,$754.90,$759.87,$764.84,$769.79,$774.75,$779.72,$784.69,$792.52,$800.34,$808.16,$816.00,$823.82,$831.66,$839.48,$847.31,$855.13,$862.95,$870.79,$878.61,$886.44,$894.26,$902.10,$909.92,$917.74,$925.57,$933.39,$941.23,$949.05,$956.89,$964.70,$972.52,$980.36,$988.18,$996.02,"$1,003.84","$1,011.67","$1,019.49","$1,027.31","$1,035.15","$1,042.97","$1,050.80","$1,058.62","$1,066.46","$1,074.28","$1,082.10","$1,089.93","$1,097.75","$1,105.59","$1,113.41","$1,121.25","$1,129.07","$1,136.89","$1,144.72","$1,152.54","$1,160.38","$1,168.20","$1,176.03",$7.82
CARIBBEAN,J,,$31.29,$36.06,$40.83,$45.96,$59.34,$64.54,$69.28,$73.34,$77.36,$80.48,$84.69,$88.92,$93.15,$97.38,$101.61,$105.82,$110.05,$114.28,$118.51,$122.72,$126.13,$129.54,$132.93,$136.34,$139.74,$143.15,$146.56,$149.95,$153.36,$156.77,$160.16,$163.57,$166.97,$170.38,$173.79,$177.18,$180.59,$184.00,$187.39,$190.80,$194.20,$197.61,$201.02,$204.41,$207.82,$211.23,$214.62,$218.03,$221.43,$224.84,$229.00,$233.16,$237.31,$241.48,$245.64,$249.80,$253.95,$258.11,$262.28,$266.44,$270.59,$274.75,$278.92,$283.08,$287.23,$291.39,$295.56,$299.72,$303.87,$308.03,$310.85,$313.66,$316.48,$319.28,$322.10,$324.90,$327.72,$330.52,$333.34,$336.15,$338.97,$341.77,$344.59,$347.39,$350.21,$353.02,$355.84,$358.64,$361.46,$364.26,$367.08,$369.89,$372.70,$375.52,$378.33,$381.15,$383.95,$386.77,$389.57,$392.39,$396.61,$400.84,$405.07,$409.30,$413.51,$417.74,$421.97,$426.20,$430.43,$434.64,$438.87,$443.10,$447.33,$451.54,$455.77,$460.00,$464.23,$468.44,$472.67,$476.90,$481.13,$485.36,$489.57,$493.80,$498.03,$502.26,$506.48,$510.70,$514.93,$519.16,$523.38,$527.61,$531.84,$536.07,$540.30,$544.51,$548.74,$552.97,$557.20,$561.41,$565.64,$569.87,$574.10,$578.33,$582.54,$586.77,$591.00,$595.23,$599.44,$603.67,$4.02
SOUTH/CENTRAL AMERICA,K,,$39.97,$49.74,$60.70,$71.99,$93.66,$105.05,$116.77,$127.66,$138.08,$148.87,$157.87,$166.85,$175.85,$184.85,$193.84,$202.84,$211.84,$220.82,$229.82,$238.82,$245.11,$251.41,$257.70,$264.00,$270.30,$276.59,$282.90,$289.20,$295.49,$301.79,$308.08,$314.38,$320.69,$326.98,$333.28,$339.57,$345.87,$352.16,$358.46,$364.77,$371.07,$377.36,$383.66,$389.95,$396.25,$402.54,$408.85,$415.15,$421.44,$427.74,$433.80,$439.87,$445.93,$452.00,$458.08,$464.15,$470.21,$476.28,$482.34,$488.41,$494.48,$500.54,$506.61,$512.69,$518.75,$524.82,$530.89,$536.95,$543.02,$549.08,$552.80,$556.52,$560.23,$563.95,$567.67,$571.38,$575.10,$578.82,$582.52,$586.25,$589.97,$593.67,$597.39,$601.11,$604.82,$608.54,$612.26,$615.97,$619.69,$623.41,$627.11,$630.84,$634.56,$638.26,$641.98,$645.70,$649.41,$653.13,$656.85,$660.57,$667.38,$674.18,$680.98,$687.79,$694.61,$701.41,$708.21,$715.02,$721.84,$728.64,$735.44,$742.25,$749.07,$755.87,$762.67,$769.48,$776.30,$783.10,$789.90,$796.70,$803.52,$810.33,$817.13,$823.93,$830.75,$837.56,$844.36,$851.16,$857.98,$864.79,$871.59,$878.39,$885.21,$892.02,$898.82,$905.62,$912.43,$919.25,$926.05,$932.85,$939.66,$946.48,$953.28,$960.08,$966.89,$973.70,$980.51,$987.31,$994.11,"$1,000.93",$6.67
MIDDLE EAST,L,,$41.34,$47.34,$53.57,$60.63,$77.20,$84.82,$92.11,$99.34,$107.00,$113.26,$119.64,$126.02,$132.39,$138.77,$145.15,$151.54,$157.92,$164.30,$170.67,$177.05,$182.13,$187.21,$192.30,$197.38,$202.46,$207.54,$212.62,$217.70,$222.79,$227.87,$232.95,$238.02,$243.10,$248.18,$253.26,$258.34,$263.43,$268.51,$273.59,$278.67,$283.75,$288.84,$293.92,$299.00,$304.07,$309.15,$314.23,$319.31,$324.39,$329.48,$335.39,$341.31,$347.23,$353.15,$359.08,$365.00,$370.92,$376.84,$382.75,$388.67,$394.59,$400.51,$406.43,$412.34,$418.26,$424.18,$430.10,$436.03,$441.95,$447.87,$452.80,$457.74,$462.66,$467.59,$472.52,$477.46,$482.39,$487.33,$492.26,$497.20,$502.13,$507.07,$511.98,$516.92,$521.85,$526.79,$531.72,$536.66,$541.59,$546.52,$551.46,$556.39,$561.31,$566.25,$571.18,$576.11,$581.05,$585.98,$590.92,$595.85,$601.79,$607.72,$613.66,$619.59,$625.52,$631.46,$637.39,$643.33,$649.26,$655.21,$661.15,$667.08,$673.02,$678.95,$684.89,$690.82,$696.75,$702.69,$708.62,$714.56,$720.49,$726.44,$732.38,$738.31,$744.25,$750.18,$756.11,$762.05,$767.98,$773.92,$779.85,$785.79,$791.72,$797.67,$803.61,$809.54,$815.48,$821.41,$827.34,$833.28,$839.21,$845.15,$851.08,$857.02,$862.95,$868.90,$874.84,$880.77,$886.70,$892.64,$5.93
AFRICA,M,,$68.41,$78.57,$97.19,$110.16,$140.82,$149.46,$162.15,$174.26,$185.31,$194.11,$206.67,$219.21,$231.75,$244.31,$256.85,$269.39,$281.93,$294.49,$307.03,$319.57,$329.07,$338.56,$348.05,$357.52,$367.02,$376.51,$385.98,$395.48,$404.97,$414.46,$423.93,$433.43,$442.92,$452.41,$461.89,$471.38,$480.87,$490.34,$499.84,$509.33,$518.82,$528.30,$537.79,$547.28,$556.77,$566.25,$575.74,$585.23,$594.72,$604.20,$612.97,$621.72,$630.49,$639.26,$648.02,$656.79,$665.54,$674.31,$683.08,$691.84,$700.61,$709.36,$718.13,$726.90,$735.66,$744.43,$753.18,$761.95,$770.72,$779.48,$787.64,$795.79,$803.95,$812.10,$820.26,$828.41,$836.57,$844.72,$852.89,$861.03,$869.20,$877.34,$885.51,$893.66,$901.82,$909.97,$918.13,$926.28,$934.43,$942.59,$950.74,$958.90,$967.05,$975.21,$983.36,$991.52,$999.67,"$1,007.84","$1,015.98","$1,024.15","$1,034.05","$1,043.93","$1,053.84","$1,063.74","$1,073.64","$1,083.54","$1,093.44","$1,103.33","$1,113.23","$1,123.13","$1,133.03","$1,142.93","$1,152.82","$1,162.72","$1,172.62","$1,182.52","$1,192.43","$1,202.31","$1,212.21","$1,222.11","$1,232.02","$1,241.92","$1,251.80","$1,261.70","$1,271.61","$1,281.51","$1,291.41","$1,301.30","$1,311.20","$1,321.10","$1,331.00","$1,340.90","$1,350.79","$1,360.69","$1,370.59","$1,380.49","$1,390.39","$1,400.28","$1,410.18","$1,420.08","$1,429.98","$1,439.89","$1,449.79","$1,459.67","$1,469.57","$1,479.48","$1,489.38","$1,499.28","$1,509.16","$1,519.07",$10.13
PUERTO RICO,N,,$32.10,$35.26,$38.59,$42.69,$53.48,$57.92,$62.61,$66.84,$71.28,$75.30,$77.67,$80.07,$82.44,$84.82,$87.21,$89.59,$91.98,$94.36,$96.75,$99.13,$100.95,$102.79,$104.61,$106.43,$108.26,$110.08,$111.90,$113.74,$115.56,$117.38,$119.21,$121.03,$122.85,$124.69,$126.51,$128.33,$130.16,$131.98,$133.80,$135.64,$137.46,$139.28,$141.11,$142.93,$144.75,$146.59,$148.41,$150.23,$152.07,$153.89,$157.84,$161.79,$165.72,$169.67,$173.62,$177.56,$181.51,$185.46,$189.41,$193.34,$197.30,$201.25,$205.18,$209.13,$213.08,$217.03,$220.97,$224.92,$228.87,$232.80,$235.97,$239.13,$242.28,$245.44,$248.59,$251.75,$254.92,$258.07,$261.23,$264.38,$267.54,$270.69,$273.85,$277.02,$280.16,$283.33,$286.48,$289.64,$292.79,$295.95,$299.11,$302.26,$305.43,$308.57,$311.74,$314.89,$318.05,$321.21,$324.36,$327.52,$330.80,$334.10,$337.39,$340.67,$343.97,$347.25,$350.54,$353.84,$357.11,$360.41,$363.69,$366.98,$370.28,$373.56,$376.85,$380.13,$383.43,$386.72,$390.00,$393.30,$396.57,$399.87,$403.16,$406.44,$409.74,$413.02,$416.31,$419.61,$422.89,$426.18,$429.46,$432.75,$436.05,$439.33,$442.62,$445.90,$449.20,$452.49,$455.77,$459.07,$462.34,$465.64,$468.93,$472.21,$475.51,$478.79,$482.08,$485.38,$488.66,$491.95,$3.28